,PassengerId,Survived,Pclass,Sex,Age,Ticket
113,1005,1,3,female,18.5,329944
114,1006,1,1,female,63.0,PC 17483
115,1007,0,3,male,18.0,2680
116,1008,0,3,male,,2681
117,1009,1,3,female,1.0,PP 9549
118,1010,0,1,male,36.0,13050
119,1011,1,2,female,29.0,SC/AH 29037
120,1012,1,2,female,12.0,C.A. 33595
121,1013,0,3,male,,367227
122,1014,1,1,female,35.0,13236
123,1015,0,3,male,28.0,392095
124,1016,0,3,male,,368783
125,1017,1,3,female,17.0,371362
126,1018,0,3,male,22.0,350045
127,1019,1,3,female,,367226
128,1020,0,2,male,42.0,211535
129,1021,0,3,male,24.0,342441
130,1022,0,3,male,32.0,STON/OQ. 369943
131,1023,0,1,male,53.0,113780
132,1024,1,3,female,,4133
133,1025,0,3,male,,2621
134,1026,0,3,male,43.0,349226
135,1027,0,3,male,24.0,350409
136,1028,0,3,male,26.5,2656
137,1029,0,2,male,26.0,248659
138,1030,1,3,female,23.0,SOTON/OQ 392083
139,1031,0,3,male,40.0,CA 2144
140,1032,1,3,female,10.0,CA 2144
141,1033,1,1,female,33.0,113781
142,1034,0,1,male,61.0,PC 17608
143,1035,0,2,male,28.0,244358
144,1036,0,1,male,42.0,17475
145,1037,0,3,male,31.0,345763
146,1038,0,1,male,,17463
147,1039,0,3,male,22.0,SC/A4 23568
148,1040,0,1,male,,113791
149,1041,0,2,male,30.0,250651
150,1042,1,1,female,23.0,11767
151,1043,0,3,male,,349255
152,1044,0,3,male,60.5,3701
153,1045,1,3,female,36.0,350405
154,1046,0,3,male,13.0,347077
155,1047,0,3,male,24.0,S.O./P.P. 752
156,1048,1,1,female,29.0,PC 17483
157,1049,1,3,female,23.0,347469
158,1050,0,1,male,42.0,110489
159,1051,1,3,female,26.0,SOTON/O.Q. 3101315
160,1052,1,3,female,,335432
161,1053,0,3,male,7.0,2650
162,1054,1,2,female,26.0,220844
163,1055,0,3,male,,343271
164,1056,0,2,male,41.0,237393
165,1057,1,3,female,26.0,315153
166,1058,0,1,male,48.0,PC 17591
167,1059,0,3,male,18.0,W./C. 6608
168,1060,1,1,female,,17770
169,1061,1,3,female,22.0,7548
170,1062,0,3,male,,S.O./P.P. 251
171,1063,0,3,male,27.0,2670
172,1064,0,3,male,23.0,347072
173,1065,0,3,male,,2673
174,1066,0,3,male,40.0,347077
175,1067,1,2,female,15.0,29750
176,1068,1,2,female,20.0,C.A. 33112
177,1069,0,1,male,54.0,11778
178,1070,1,2,female,36.0,230136
179,1071,1,1,female,64.0,PC 17756
180,1072,0,2,male,30.0,233478
181,1073,0,1,male,37.0,PC 17756
182,1074,1,1,female,18.0,113773
183,1075,0,3,male,,7935
184,1076,1,1,female,27.0,PC 17558
185,1077,0,2,male,40.0,239059
186,1078,1,2,female,21.0,S.O./P.P. 2
187,1079,0,3,male,17.0,A/4 48873
188,1080,1,3,female,,CA. 2343
189,1081,0,2,male,40.0,28221
190,1082,0,2,male,34.0,226875
191,1083,0,1,male,,111163
192,1084,0,3,male,11.5,A/5. 851
193,1085,0,2,male,61.0,235509
194,1086,0,2,male,8.0,28220
195,1087,0,3,male,33.0,347465
196,1088,0,1,male,6.0,16966
197,1089,1,3,female,18.0,347066
198,1090,0,2,male,23.0,C.A. 31030
199,1091,1,3,female,,65305
200,1092,1,3,female,,36568
201,1093,0,3,male,0.33,347080
202,1094,0,1,male,47.0,PC 17757
203,1095,1,2,female,8.0,26360
204,1096,0,2,male,25.0,C.A. 34050
205,1097,0,1,male,,F.C. 12998
206,1098,1,3,female,35.0,9232
207,1099,0,2,male,24.0,28034
208,1100,1,1,female,33.0,PC 17613
209,1101,0,3,male,25.0,349250
210,1102,0,3,male,32.0,C 4001
211,1103,0,3,male,,SOTON/O.Q. 3101308
212,1104,0,2,male,17.0,S.O.C. 14879
213,1105,1,2,female,60.0,24065
214,1106,1,3,female,38.0,347091
215,1107,0,1,male,42.0,113038
216,1108,1,3,female,,330924
217,1109,0,1,male,57.0,36928
218,1110,1,1,female,50.0,113503
219,1111,0,3,male,,32302
220,1112,1,2,female,30.0,SC/PARIS 2148
221,1113,0,3,male,21.0,342684
222,1114,1,2,female,22.0,W./C. 14266
223,1115,0,3,male,21.0,350053
224,1116,1,1,female,53.0,PC 17606
225,1117,1,3,female,,2661
226,1118,0,3,male,23.0,350054
227,1119,1,3,female,,370368
228,1120,0,3,male,40.5,C.A. 6212
229,1121,0,2,male,36.0,242963
230,1122,0,2,male,14.0,220845
231,1123,1,1,female,21.0,113795
232,1124,0,3,male,21.0,3101266
233,1125,0,3,male,,330971
234,1126,0,1,male,39.0,PC 17599
235,1127,0,3,male,20.0,350416
236,1128,0,1,male,64.0,110813
237,1129,0,3,male,20.0,2679
238,1130,1,2,female,18.0,250650
239,1131,1,1,female,48.0,PC 17761
240,1132,1,1,female,55.0,112377
241,1133,1,2,female,45.0,237789
242,1134,0,1,male,45.0,16966
243,1135,0,3,male,,3470
244,1136,0,3,male,,W./C. 6607
245,1137,0,1,male,41.0,17464
246,1138,1,2,female,22.0,F.C.C. 13534
247,1139,0,2,male,42.0,28220
248,1140,1,2,female,29.0,26707
249,1141,1,3,female,,2660
250,1142,1,2,female,0.92,C.A. 34651
251,1143,0,3,male,20.0,SOTON/O2 3101284
252,1144,0,1,male,27.0,13508
253,1145,0,3,male,24.0,7266
254,1146,0,3,male,32.5,345775
255,1147,0,3,male,,C.A. 42795
256,1148,0,3,male,,AQ/4 3130
257,1149,0,3,male,28.0,363611
258,1150,1,2,female,19.0,28404
259,1151,0,3,male,21.0,345501
260,1152,0,3,male,36.5,345572
261,1153,0,3,male,21.0,350410
262,1154,1,2,female,29.0,29103
263,1155,1,3,female,1.0,350405
264,1156,0,2,male,30.0,C.A. 34644
265,1157,0,3,male,,349235
266,1158,0,1,male,,112051
267,1159,0,3,male,,C.A. 49867
268,1160,1,3,female,,A. 2. 39186
269,1161,0,3,male,17.0,315095
270,1162,0,1,male,46.0,13050
271,1163,0,3,male,,368573
272,1164,1,1,female,26.0,13508
273,1165,1,3,female,,370371
274,1166,0,3,male,,2676
275,1167,1,2,female,20.0,236853
276,1168,0,2,male,28.0,SC 14888
277,1169,0,2,male,40.0,2926
278,1170,0,2,male,30.0,CA 31352
279,1171,0,2,male,22.0,W./C. 14260
280,1172,1,3,female,23.0,315085
281,1173,0,3,male,0.75,SOTON/O.Q. 3101315
282,1174,1,3,female,,364859
283,1175,1,3,female,9.0,2650
284,1176,1,3,female,2.0,370129
285,1177,0,3,male,36.0,A/5 21175
286,1178,0,3,male,,SOTON/O.Q. 3101314
287,1179,0,1,male,24.0,21228
288,1180,0,3,male,,2655
289,1181,0,3,male,,A/5 1478
290,1182,0,1,male,,PC 17607
291,1183,1,3,female,30.0,382650
292,1184,0,3,male,,2652
293,1185,0,1,male,53.0,33638
294,1186,0,3,male,36.0,345771
295,1187,0,3,male,26.0,349202
296,1188,1,2,female,1.0,SC/Paris 2123
297,1189,0,3,male,,2662
298,1190,0,1,male,30.0,113801
299,1191,0,3,male,29.0,347467
300,1192,0,3,male,32.0,347079
301,1193,0,2,male,,237735
302,1194,0,2,male,43.0,S.O./P.P. 2
303,1195,0,3,male,24.0,315092
304,1196,1,3,female,,383123
305,1197,1,1,female,64.0,112901
306,1198,0,1,male,30.0,113781
307,1199,0,3,male,0.83,392091
308,1200,0,1,male,55.0,12749
309,1201,1,3,female,45.0,350026
310,1202,0,3,male,18.0,315091
311,1203,0,3,male,22.0,2658
312,1204,0,3,male,,LP 1588
313,1205,1,3,female,37.0,368364
314,1206,1,1,female,55.0,PC 17760
315,1207,1,3,female,17.0,AQ/3. 30631
316,1208,0,1,male,57.0,PC 17569
317,1209,0,2,male,19.0,28004
318,1210,0,3,male,27.0,350408
319,1211,0,2,male,22.0,C.A. 31029
320,1212,0,3,male,26.0,347075
321,1213,0,3,male,25.0,2654
322,1214,0,2,male,26.0,244368
323,1215,0,1,male,33.0,113790
324,1216,1,1,female,39.0,24160
325,1217,0,3,male,23.0,SOTON/O.Q. 3101309
326,1218,1,2,female,12.0,230136
327,1219,0,1,male,46.0,PC 17585
328,1220,0,2,male,29.0,2003
329,1221,0,2,male,21.0,236854
330,1222,1,2,female,48.0,C.A. 33112
331,1223,0,1,male,39.0,PC 17580
332,1224,0,3,male,,2684
333,1225,1,3,female,19.0,2653
334,1226,0,3,male,27.0,349229
335,1227,0,1,male,30.0,110469
336,1228,0,2,male,32.0,244360
337,1229,0,3,male,39.0,2675
338,1230,0,2,male,25.0,C.A. 31029
339,1231,0,3,male,,2622
340,1232,0,2,male,18.0,C.A. 15185
341,1233,0,3,male,32.0,350403
342,1234,0,3,male,,CA. 2343
343,1235,1,1,female,58.0,PC 17755
344,1236,0,3,male,,A/5. 851
345,1237,1,3,female,16.0,348125
346,1238,0,2,male,26.0,237670
347,1239,1,3,female,38.0,2688
348,1240,0,2,male,24.0,248726
349,1241,1,2,female,31.0,F.C.C. 13528
350,1242,1,1,female,45.0,PC 17759
351,1243,0,2,male,25.0,F.C.C. 13540
352,1244,0,2,male,18.0,S.O.C. 14879
353,1245,0,2,male,49.0,220845
354,1246,1,3,female,0.17,C.A. 2315
355,1247,0,1,male,50.0,113044
356,1248,1,1,female,59.0,11769
357,1249,0,3,male,,1222
358,1250,0,3,male,,368402
359,1251,1,3,female,30.0,349910
360,1252,0,3,male,14.5,CA. 2343
361,1253,1,2,female,24.0,S.C./PARIS 2079
362,1254,1,2,female,31.0,CA 31352
363,1255,0,3,male,27.0,315083
364,1256,1,1,female,25.0,11765
365,1257,1,3,female,,CA. 2343
366,1258,0,3,male,,2689
367,1259,1,3,female,22.0,3101295
368,1260,1,1,female,45.0,112378
369,1261,0,2,male,29.0,SC/PARIS 2147
370,1262,0,2,male,21.0,28133
371,1263,1,1,female,31.0,16966
372,1264,0,1,male,49.0,112058
373,1265,0,2,male,44.0,248746
374,1266,1,1,female,54.0,33638
375,1267,1,1,female,45.0,PC 17608
376,1268,1,3,female,22.0,315152
377,1269,0,2,male,21.0,29107
378,1270,0,1,male,55.0,680
379,1271,0,3,male,5.0,347077
380,1272,0,3,male,,366713
381,1273,0,3,male,26.0,330910
382,1274,1,3,female,,364498
383,1275,1,3,female,19.0,376566
384,1276,0,2,male,,SC/PARIS 2159
385,1277,1,2,female,24.0,220845
386,1278,0,3,male,24.0,349911
387,1279,0,2,male,57.0,244346
388,1280,0,3,male,21.0,364858
389,1281,0,3,male,6.0,349909
390,1282,0,1,male,23.0,12749
391,1283,1,1,female,51.0,PC 17592
392,1284,0,3,male,13.0,C.A. 2673
393,1285,0,2,male,47.0,C.A. 30769
394,1286,0,3,male,29.0,315153
395,1287,1,1,female,18.0,13695
396,1288,0,3,male,24.0,371109
397,1289,1,1,female,48.0,13567
398,1290,0,3,male,22.0,347065
399,1291,0,3,male,31.0,21332
400,1292,1,1,female,30.0,36928
401,1293,0,2,male,38.0,28664
402,1294,1,1,female,22.0,112378
403,1295,0,1,male,17.0,113059
404,1296,0,1,male,43.0,17765
405,1297,0,2,male,20.0,SC/PARIS 2166
406,1298,0,2,male,23.0,28666
407,1299,0,1,male,50.0,113503
408,1300,1,3,female,,334915
409,1301,1,3,female,3.0,SOTON/O.Q. 3101315
410,1302,1,3,female,,365237
411,1303,1,1,female,37.0,19928
412,1304,1,3,female,28.0,347086
413,1305,0,3,male,,A.5. 3236
414,1306,1,1,female,39.0,PC 17758
415,1307,0,3,male,38.5,SOTON/O.Q. 3101262
416,1308,0,3,male,,359309
417,1309,0,3,male,,2668
